tweet,comportamental,fisiologico,psiquico,dhTweet,idUsuario,validadoEspec,idTweet,label
"toda vez que eu tomo meu remédio eu penso “isso aqui pode salvar ou tirar minha vida, só depende de mim”",TRUE,FALSE,FALSE,2019-10-15,spfcjuuu,TRUE,5502,2
Eu n entendo como essa galera do Master Chef consegue pensar em pratos incríveis em tão pouco tempo,FALSE,FALSE,FALSE,2019-10-15,joaonovaisp,TRUE,5567,0
"#esport  🥇Brasil conquista segundo ouro nos Jogos Mundiais de Prai  🥇🏆 Brasil vence Japão no Mundial de Vôlei Masculino e conquista o tricampeonato do torneio de forma invicta e com uma rodada de antecedênci 
⚽ Cristiano Ronaldo marca por Portugal e chega a 700 gols",FALSE,FALSE,FALSE,2019-10-15,Marilia__Rocha,TRUE,5132,0
"Reeee.. enquanto ontem eu passei a noite fazendo projeto minha irmã tava no show de marilia tomando todas dançando chamegando com meu cunhado, sabe de tudo carai",FALSE,FALSE,FALSE,2019-10-15,debilsden,TRUE,5133,0
"@anonimo tb ainda não tinha assistido, Ju. Corrigi esse erro ontem. Adorei ver a Marília Pêra no filme. Não lembrava que ela fazia parte do elenco.",FALSE,FALSE,FALSE,2019-10-15,gnbrasil,TRUE,5134,0
🇧🇷 Campos do Jordã 🇧🇷 Guarajub 🇧🇷 Recif 🇧🇷 Caruar 🇧🇷 São José dos Campo 🇧🇷 Botucat 🇧🇷 Maríli 🇧🇷 Rio Clar 🇧🇷 Mirasso 🇧🇷 São José do Rio Pret 🇧🇷 Sorocab 🇧🇷 Curitib 🇧🇷 Joinvill 🇫🇷 Pari 🇫🇷 Versaille 🇫🇷 Givern 🇫🇷 Grenobl 🇫🇷 Lyon,FALSE,FALSE,FALSE,2019-10-15,mihlestrange,TRUE,5135,0
"Vocês dizem que eu não tenho direito de tirar minha vida 
E onde está o direito de vocês decidirem isso por mim 
~S.P.T~",TRUE,FALSE,FALSE,2019-10-15,Gfs_sabatini,TRUE,5505,2
só quero morrer,TRUE,FALSE,FALSE,2019-10-12,killia_xx,TRUE,3873,2
Desenvolvedor Mobile  https://t.co/myEsAKq1ai,FALSE,FALSE,FALSE,2019-10-15,empregojusto,TRUE,5137,0
eu um dia sem comer nada so leite aiaia não sei se é pq to sem apetite ou pq eu to paranoico com meu peso dnv,FALSE,TRUE,FALSE,2019-10-12,outourrs,TRUE,3906,1
"Tô sem apetite, comendo forçada 🤦
♀️",FALSE,TRUE,FALSE,2019-10-12,YaraCanario,TRUE,3908,1
meu almoço ficou muito bom hj pena eu estar sem apetite por causa do calor,FALSE,TRUE,FALSE,2019-10-12,zaintrouble,TRUE,3909,1
"Eu sem apetite nenhum e meu organismo querendo comida, vai sonhando querido.",FALSE,TRUE,FALSE,2019-10-12,PlutochildP,TRUE,3910,1
Almoçando sem apetite,FALSE,TRUE,FALSE,2019-10-12,kkkkkjjjkjk,TRUE,3911,1
"eu to totalmente sem apetite pqp, se mnh mãe n me forçar eu n comoo.😬😑",FALSE,TRUE,FALSE,2019-10-12,CrlhVekiinhaa,TRUE,3912,1
EU QUERO MORRER https://t.co/IntoLrPmoH,TRUE,FALSE,FALSE,2019-10-12,GGUKCHANEL,TRUE,3876,2
eu quero morrer,TRUE,FALSE,FALSE,2019-10-12,rollerwxrld,TRUE,3878,2
quero morrer,TRUE,FALSE,FALSE,2019-10-12,ksooboss,TRUE,3880,2
já entendi que eu não sou importante tá bom,FALSE,FALSE,TRUE,2019-10-12,mariashimakawa,TRUE,3885,3
chorando pq não sou importante pra ngm 👍🏿 https://t.co/eVdRWc94IQ,FALSE,FALSE,TRUE,2019-10-11,helo_fontex,TRUE,3888,3
Sinto sempre que nao sou importante para certas pessoas da maneira que eu queria,FALSE,FALSE,TRUE,2019-10-12,Ines_Hunter_W,TRUE,3889,3
@anonimo Nao sou importante pra isso,FALSE,FALSE,TRUE,2019-10-11,IgorLigeiro_dmc,TRUE,3890,3
Vtnc kkkk qq eu fiz pra merecer,FALSE,FALSE,TRUE,2019-10-13,KauanVns,TRUE,4529,3
qq eu fiz pra merecer isso ????????????,FALSE,FALSE,TRUE,2019-10-13,_karolineesilva,TRUE,4530,3
qq eu fiz pra merecer meu Deus,FALSE,FALSE,TRUE,2019-10-13,aiseilaSabe,TRUE,4532,3
qq eu fiz pra merecer isso,FALSE,FALSE,TRUE,2019-10-13,larisilvp,TRUE,4534,3
Se eu n acordar msm é melhor já que sou um fracassado msm,TRUE,FALSE,TRUE,2019-10-14,berte_leonardo,TRUE,4982,2
dormi o dia inteiro tinha horas w meu despertafor tocava aj eu pensavabnossa to tristebsou pessima stanbdo chittaphon ai tb lembrava de sabadonnossa depressao total https://t.co/gI4OptbJCy,FALSE,TRUE,TRUE,2019-10-09,daergul,TRUE,3696,1
"outra. ansiedade tem sintomas sim inquietação, irritabilidade, falta de concentração pensamentos indesejados, fadiga, suor, falta de ar ou respiração acelerada, insônia, pesadelos, tremedeira, náusea, medo, entre vários outros sintomas que interferem na vida social de alguém+++",FALSE,TRUE,TRUE,2019-10-10,colibri_JK,TRUE,3896,1
@anonimo to sem apetite anjo,FALSE,TRUE,FALSE,2019-10-12,fIowerswjk,TRUE,3913,1
Eu só queria não ter nascido nessa porra.,TRUE,FALSE,FALSE,2019-10-15,HeloisaVeronez2,TRUE,5509,2
